Amostra,Rotacao,Pressao Oleo,Pressao Combustivel,Pressao Arrefecimento,Temperatura Oleo,Temperatura Arrefecimento,Condicao Motor
42,659,3.13,3.96,1.05,83.96,75.76,0
43,751,4.57,4.39,2.48,76.53,90.43,1
44,591,2.76,5.21,2.17,78.62,81.32,1
45,1046,2.98,6.29,1.12,77.70,83.56,0
46,829,3.42,6.11,2.29,86.46,74.94,0
47,961,1.26,6.91,2.23,76.05,92.04,1
48,696,5.12,11.97,1.45,75.80,82.65,1
49,852,3.37,5.81,1.43,76.55,72.34,1
50,706,2.82,5.38,2.25,76.42,74.89,1
51,901,3.84,4.59,2.34,78.93,83.60,0
52,740,4.85,6.80,2.44,75.07,80.65,0
53,654,4.43,6.00,3.01,77.14,67.15,1
54,449,2.18,5.42,5.69,83.36,82.14,0
55,779,2.02,13.79,1.03,77.13,84.86,0
56,1674,2.50,3.62,2.04,76.77,74.64,0
57,587,2.46,4.48,1.74,76.56,75.38,0
58,613,3.87,5.30,2.26,81.89,80.92,1
59,691,2.38,8.00,1.47,75.09,71.61,1
60,866,4.34,8.02,3.12,85.27,77.65,1
61,697,3.81,1.63,0.79,78.63,86.73,0
62,694,3.29,5.94,2.94,76.14,69.69,1
63,850,2.38,7.55,2.57,77.13,86.94,0
64,849,4.95,11.57,2.64,77.72,77.24,0
65,938,3.07,7.41,4.48,76.10,73.25,0
66,458,2.66,5.22,3.10,77.09,73.94,1
67,878,4.16,2.54,1.05,75.83,76.74,1
68,513,2.48,5.18,3.37,75.70,78.27,1
69,590,3.65,6.65,2.85,83.66,75.25,0
70,893,2.82,6.62,1.57,75.81,74.36,1
71,748,2.75,5.72,5.26,75.19,79.11,1
72,805,2.91,17.57,1.75,74.72,75.26,1
73,563,3.22,3.50,1.55,77.19,73.29,1
74,976,2.85,3.18,1.13,76.30,73.25,0
75,643,3.96,5.83,1.79,84.03,90.66,1
76,864,3.27,3.89,1.40,85.24,77.46,1
77,1108,3.59,7.15,1.50,76.56,77.42,1
78,438,2.87,6.38,2.20,83.57,67.53,1
79,678,2.06,8.75,1.76,75.99,91.52,1
80,795,3.66,6.08,4.64,76.28,68.68,1
81,664,3.98,7.54,4.85,76.41,84.57,1
82,664,4.81,5.35,1.29,75.88,79.35,0
83,644,4.33,4.51,0.96,76.61,74.85,0
84,881,4.59,4.55,1.84,75.95,75.29,1
85,810,2.99,6.49,2.27,78.37,78.27,1
86,1107,2.67,6.13,1.74,74.90,68.42,1
87,882,4.84,5.60,2.67,76.56,85.45,0
88,596,4.21,4.60,1.31,84.46,76.63,1
89,1776,3.65,5.87,1.32,76.48,71.23,0
90,1294,4.42,12.57,2.45,77.41,72.18,1
91,666,2.52,8.94,2.78,74.36,68.14,1
92,442,2.13,0.31,2.67,76.91,83.67,1
93,885,1.26,2.52,2.91,84.52,82.27,0
94,577,3.58,4.81,1.35,76.50,72.33,1
95,859,2.19,6.03,1.30,78.41,83.01,0
96,585,2.83,6.69,2.24,81.62,70.61,0
97,704,2.27,10.01,2.15,76.25,88.93,1
98,500,2.43,5.69,2.34,75.49,82.80,1
99,577,4.08,4.97,2.36,76.27,76.51,1
100,829,5.46,6.39,2.97,75.66,79.24,1
101,1281,4.09,4.66,1.61,77.39,80.09,0
102,762,2.42,4.85,1.37,76.95,83.64,1
103,1481,3.97,5.70,1.56,76.00,93.79,0
104,1224,2.21,5.87,1.72,82.98,78.94,0
105,1334,3.74,5.48,0.78,77.32,73.76,1
106,388,3.14,3.34,2.72,81.91,75.49,1
107,872,2.56,5.46,2.13,82.87,66.65,1
108,619,4.48,13.59,1.23,85.39,70.88,1
109,1661,3.52,11.80,2.95,76.73,72.87,0
110,654,2.87,15.35,1.37,74.81,78.91,0
111,952,2.45,3.99,1.52,73.65,82.02,1
112,780,4.16,7.02,2.32,86.25,72.35,0
113,658,2.78,4.40,1.70,83.98,73.04,1
114,697,2.45,4.42,2.04,75.92,87.30,1
115,797,3.02,6.77,1.91,75.58,69.25,1
116,449,2.55,4.35,3.23,77.40,80.48,1
117,565,1.69,7.31,3.25,74.41,84.09,1
118,690,5.19,5.13,1.52,85.03,69.55,1
119,618,2.80,6.17,0.94,75.28,76.34,1
120,495,4.71,4.67,3.06,80.94,95.23,1
121,833,4.51,5.05,2.30,75.27,84.61,0
122,764,3.83,4.98,2.90,77.34,79.24,0
123,721,3.54,5.37,2.29,76.79,78.42,1
124,739,3.54,5.92,1.02,74.38,81.98,0
125,989,0.73,3.19,1.57,76.81,84.74,0
126,668,2.08,6.48,1.84,77.37,74.44,1
127,1172,3.28,10.35,2.09,78.05,76.72,1
128,657,2.47,5.52,2.76,75.95,79.18,0
129,717,3.33,7.39,1.57,77.22,88.18,1
130,816,3.13,11.06,3.25,84.83,76.30,1
131,879,3.04,1.76,2.59,77.00,75.81,1
132,711,5.40,6.16,2.03,76.46,72.28,1
133,819,2.75,3.16,2.54,77.93,74.14,1
134,1411,3.33,5.41,1.41,75.52,73.41,1
135,970,5.17,0.44,1.18,76.40,67.88,1
136,990,4.04,5.97,1.64,76.13,84.60,0
137,1378,2.81,6.07,1.64,75.21,70.45,0
138,929,2.47,6.60,3.54,75.61,75.88,0
139,428,4.02,4.39,1.87,75.62,90.81,0
140,620,1.98,12.94,3.42,76.38,88.28,0
141,925,3.63,4.51,2.95,77.17,86.71,0
142,778,2.73,4.52,1.11,78.12,76.61,1
143,670,2.49,7.12,1.28,81.01,77.18,1
144,1620,1.54,6.40,2.42,75.16,77.34,0
145,689,2.44,9.31,1.08,79.56,73.25,0
146,1321,2.89,5.22,1.19,76.54,81.10,0
147,638,1.94,1.73,2.56,76.64,69.91,1
148,483,2.17,5.71,2.25,78.22,82.57,0
149,644,2.18,3.51,1.87,76.44,81.59,1
150,801,4.17,2.00,3.28,77.50,81.79,1
151,544,2.84,4.94,2.55,77.52,76.82,0
152,775,4.19,7.75,4.08,81.79,78.98,1
153,965,3.03,2.28,1.30,78.24,73.33,0
154,970,4.47,4.27,2.53,77.40,83.02,1
155,692,3.90,7.05,1.91,77.41,77.82,1
156,600,4.98,5.48,1.97,78.48,71.35,0
157,598,1.17,8.21,2.45,77.89,72.90,1
158,1694,3.77,11.07,2.17,75.69,75.51,0
159,719,3.77,4.94,2.65,77.12,77.90,0
160,843,2.44,6.37,1.74,82.93,89.95,1
161,1121,3.82,6.00,3.12,77.01,73.48,1
162,501,2.99,4.48,1.64,76.78,63.97,0
163,779,3.74,7.81,1.54,75.88,69.48,1
164,861,2.51,6.83,2.29,75.84,88.92,0
165,780,2.87,4.77,1.41,75.48,77.66,0
166,623,2.20,4.47,1.25,83.24,79.27,0
167,808,1.99,6.13,2.74,78.16,87.87,0
168,1074,3.74,10.97,1.63,75.35,78.73,1
169,740,3.06,3.68,2.12,81.96,76.28,1
170,800,2.84,6.84,1.66,83.51,70.32,1
171,763,2.53,4.76,1.72,77.60,86.98,0
172,735,3.60,1.75,2.77,76.68,81.06,0
173,474,2.37,9.21,0.77,86.59,86.26,1
174,666,3.31,5.17,0.26,76.32,86.39,1
175,858,2.74,12.22,1.11,80.60,85.45,0
176,819,1.96,8.28,2.36,74.88,68.06,1
177,399,1.62,12.08,1.98,75.82,75.47,1
178,1030,3.22,7.90,2.04,76.54,71.29,1
179,620,2.49,3.33,1.04,77.80,86.91,0
180,1459,2.99,14.87,1.75,77.97,84.21,1
181,913,3.58,3.16,2.81,78.06,70.21,1
182,593,2.36,6.14,1.21,77.35,74.51,1
183,391,2.07,10.82,1.63,76.10,74.33,1
184,718,5.35,2.94,3.19,75.13,77.05,1
185,626,4.04,6.30,2.76,78.60,83.52,0
186,1058,0.58,5.74,2.24,81.92,79.07,0
187,805,2.27,6.70,0.16,81.95,82.36,1
188,794,5.06,8.13,2.06,82.19,84.44,1
189,963,2.71,7.16,6.15,77.37,75.42,0
190,895,3.79,5.63,2.44,76.07,81.32,0
191,562,3.76,8.62,2.67,73.77,84.06,1
192,924,3.50,8.33,1.18,76.63,72.25,0
193,535,3.75,4.41,2.33,81.77,74.12,0
194,636,4.04,6.98,1.52,78.53,73.32,1
195,896,2.69,5.11,4.87,78.35,79.08,1
196,1256,2.31,5.62,2.51,77.80,83.42,0
197,1334,3.88,6.63,1.11,79.93,81.28,0
198,911,5.06,7.94,2.87,77.32,77.90,1
199,1435,2.62,8.57,2.31,76.20,90.05,0
200,761,3.42,5.36,1.64,75.94,70.43,1
201,1366,4.15,5.55,2.26,80.93,78.23,1
202,552,3.91,4.79,3.75,77.77,88.09,1
203,701,3.07,2.88,1.53,76.37,77.33,0
204,710,4.29,16.17,2.56,73.81,71.08,1
205,881,4.51,1.82,2.61,73.63,86.22,0
206,388,2.96,12.83,1.52,81.95,70.63,1
207,737,4.62,5.91,1.83,77.61,70.90,1
208,669,4.92,3.81,3.06,74.14,74.32,0
209,663,2.24,2.92,2.10,73.87,76.51,1
210,1033,3.23,6.05,2.19,77.61,82.96,1
211,544,2.05,4.29,4.91,75.71,94.07,1
212,502,4.45,5.19,2.30,74.59,78.08,1
213,1000,3.30,3.81,2.26,75.62,89.73,1
214,1154,3.32,2.00,1.28,82.15,78.14,0
215,801,3.22,10.62,2.03,74.87,84.47,1
216,665,3.77,4.99,1.78,77.41,82.52,1
217,963,1.86,4.71,1.82,76.23,83.35,0
218,582,4.33,10.30,4.25,77.58,87.90,0
219,481,3.97,8.72,2.21,78.31,81.37,1
220,537,4.35,5.24,3.50,77.57,84.39,1
221,904,1.59,7.53,1.35,77.89,81.59,1
222,739,3.45,6.90,1.32,77.75,77.66,1
223,1331,4.21,3.23,2.08,83.73,74.45,0
224,536,3.91,7.42,2.54,84.56,85.27,1
225,512,2.50,6.38,1.76,75.93,69.17,0
226,1046,1.70,5.90,2.59,79.57,67.41,1
227,630,4.21,7.04,2.80,74.46,77.73,1
228,530,4.60,7.37,3.30,76.47,72.06,1
229,709,2.81,7.39,2.66,75.83,85.68,1
230,501,2.88,6.56,2.27,77.08,83.31,1
231,1286,5.12,3.83,3.25,77.37,71.86,1
232,524,3.22,8.19,1.86,79.28,68.36,1
233,980,3.53,9.05,1.02,76.80,80.01,0
234,571,3.56,7.63,2.68,76.32,69.89,1
235,541,3.11,6.36,1.72,76.65,86.09,1
236,422,2.80,9.51,1.31,77.18,71.52,1
237,430,2.20,5.47,3.32,77.59,77.07,1
238,778,1.82,3.48,4.93,76.97,93.60,0
239,861,2.80,4.49,3.05,85.26,66.76,1
240,801,4.84,5.80,1.12,81.40,84.06,1
241,588,2.28,6.52,1.87,75.68,73.38,0
242,709,2.04,5.20,2.55,75.93,80.22,1
243,1161,3.92,4.31,1.86,75.43,74.68,1
244,1509,2.02,5.07,1.22,75.30,90.14,1
245,805,2.36,3.33,2.91,76.69,86.05,0
246,655,4.16,8.47,3.38,81.71,78.81,1
247,517,2.69,5.21,2.78,75.52,80.06,0
248,591,4.03,4.07,1.81,78.49,83.91,1
249,696,1.82,6.98,2.65,77.59,83.36,0
250,780,2.59,5.26,2.11,74.99,75.53,0
251,866,3.59,5.77,2.13,74.88,67.34,0
252,749,3.66,6.22,1.83,76.56,88.64,0
253,1040,2.41,4.03,2.31,77.64,78.23,0
254,1327,5.09,5.78,2.29,87.54,72.36,0
255,482,2.15,6.79,1.69,77.54,75.73,0
256,1128,3.07,8.67,1.46,77.66,71.67,1
257,823,3.14,10.61,3.11,75.66,71.10,1
258,481,4.00,6.41,2.62,76.51,79.77,0
259,715,3.39,6.98,3.13,76.87,87.90,0
260,777,2.88,5.31,1.93,77.34,90.11,0
261,489,2.66,9.23,1.44,75.42,72.28,1
262,2143,3.85,5.93,1.68,74.39,72.50,0
263,546,4.85,3.74,1.74,74.44,76.40,1
264,997,4.42,6.09,2.00,84.13,81.29,0
265,840,2.39,5.91,2.87,77.62,85.87,0
266,885,2.60,6.28,1.31,78.02,83.00,1
267,897,3.41,4.64,2.36,77.45,81.01,0
268,983,2.26,6.52,3.42,80.39,85.32,0
269,722,3.78,2.81,1.62,77.33,83.61,0
270,1067,4.43,4.11,2.60,77.35,77.04,0
271,542,4.25,8.10,1.63,77.85,82.57,1
272,691,4.20,5.68,0.41,76.10,79.69,1
273,499,1.95,8.80,7.48,75.10,69.62,1
274,973,1.75,4.87,0.95,74.69,81.05,1
275,946,3.85,6.71,4.28,77.63,79.41,0
276,594,2.82,5.79,2.62,74.72,72.34,1
277,976,3.40,4.26,3.32,81.15,73.16,0
278,572,4.43,6.43,2.67,77.23,83.12,0
279,621,3.21,1.17,2.35,77.56,89.36,1
280,1235,2.93,5.59,2.76,85.93,66.61,1
281,1007,3.96,7.10,4.01,74.81,74.54,1
282,569,3.15,8.26,2.79,76.08,84.20,1
283,923,2.97,5.94,4.13,77.42,73.82,1
284,654,3.89,6.34,3.44,78.20,84.52,0
285,1032,2.19,0.80,1.48,84.39,84.19,1
286,768,3.93,8.67,1.48,76.46,74.76,1
287,1041,2.71,5.17,1.01,75.80,75.82,0
288,647,3.09,8.27,3.07,77.09,70.53,0
289,500,5.40,13.96,3.03,82.93,67.52,1
290,412,3.05,4.37,5.39,76.04,89.79,0
291,549,3.37,5.73,1.94,79.74,79.20,1
292,1031,2.44,4.17,2.73,77.42,69.21,0
293,790,4.76,8.89,3.31,81.44,69.01,0
294,1032,2.74,8.27,2.68,75.71,70.36,0
295,924,3.26,6.84,2.06,76.56,75.80,0
296,499,2.24,6.68,2.15,75.92,67.97,1
297,544,3.57,4.03,2.30,77.12,66.90,1
298,505,4.30,6.60,1.93,82.07,85.78,1
299,885,3.19,7.63,2.92,81.05,86.78,1
300,882,4.37,3.93,2.21,76.15,76.37,0
301,936,2.94,5.48,1.36,77.77,77.45,1
302,788,3.43,3.31,1.95,74.63,85.36,0
303,610,3.22,3.99,3.70,76.75,82.76,0
304,428,2.32,6.12,1.14,79.05,81.15,1
305,738,2.22,6.59,2.20,74.64,80.61,0
306,517,1.85,4.53,2.85,77.76,79.63,1
307,667,3.03,5.83,2.04,78.38,71.69,1
308,554,2.31,9.35,2.80,77.05,80.37,1
309,586,2.18,6.72,2.73,82.49,75.87,0
310,957,2.86,6.21,2.55,76.02,84.54,1
311,648,1.93,7.75,1.63,81.28,90.58,1
312,1009,4.16,7.46,3.04,82.52,87.01,1
313,629,3.73,7.12,2.46,82.33,91.76,1
314,915,4.01,5.46,2.50,84.61,89.26,0
315,371,2.49,5.07,1.90,74.84,75.32,1
316,898,3.16,13.58,1.24,81.31,85.02,0
317,495,3.54,4.44,1.43,76.49,78.53,1
318,914,3.59,4.45,2.68,85.10,92.17,1
319,1168,1.89,3.89,1.84,78.16,87.19,1
320,707,2.63,4.49,2.39,85.87,70.69,0
321,574,2.45,8.33,4.19,76.34,72.69,1
322,717,2.60,2.57,1.28,74.95,73.92,1
323,496,4.85,15.46,2.55,76.19,82.93,1
324,1111,2.91,7.20,1.44,76.78,72.26,1
325,566,2.94,7.21,1.78,75.11,79.60,0
326,708,4.26,5.07,3.00,78.56,81.35,0
327,1537,4.96,5.90,1.90,77.65,65.22,0
328,1201,4.70,8.12,0.73,76.28,77.05,0
329,587,3.94,8.10,1.06,78.20,75.67,1
330,690,2.76,6.21,2.25,73.41,68.76,1
331,397,4.23,11.44,1.16,77.43,77.67,1
332,940,5.44,5.04,1.53,83.43,77.66,0
333,527,3.27,7.48,2.70,75.83,77.13,1
334,679,2.94,7.88,0.99,86.13,86.31,1
335,563,3.23,1.57,2.83,76.67,71.91,1
336,680,2.34,6.19,1.54,75.56,70.73,1
337,647,2.70,7.88,1.68,76.17,81.35,0
338,739,3.41,8.95,1.62,82.21,66.34,1
339,1126,2.15,3.42,2.05,75.29,81.59,0
340,1145,4.44,5.69,2.97,74.06,71.00,0
341,616,4.43,5.18,1.53,77.36,87.29,0
342,845,3.78,7.83,1.56,76.41,86.07,0
343,496,2.71,6.78,2.58,74.59,85.73,1
344,380,2.39,6.41,3.04,77.91,81.83,1
345,887,3.31,9.06,3.33,77.35,81.34,0
346,1179,3.31,6.16,0.74,75.68,71.43,0
347,565,2.87,14.48,3.03,76.51,79.31,1
348,1089,2.73,13.38,2.22,75.96,74.78,1
349,675,4.12,3.52,2.08,76.68,82.77,0
350,534,3.96,6.39,3.21,76.21,76.08,1
351,1297,1.65,3.44,1.28,77.83,72.39,0
352,619,2.27,8.25,2.51,79.78,88.33,1
353,614,2.78,3.65,2.28,76.91,79.79,0
354,935,3.82,5.48,3.20,76.03,75.19,0
355,792,4.94,6.14,0.74,75.33,68.96,0
356,971,4.48,6.67,1.90,77.25,73.42,0
357,639,5.23,4.72,1.42,74.89,80.65,1
358,1008,2.54,9.54,1.28,72.99,66.97,1
359,1013,2.72,8.35,2.27,74.79,71.48,1
360,626,3.01,6.20,2.54,86.72,72.53,1
361,672,5.65,6.17,3.17,76.07,74.61,1
362,1583,1.96,6.08,2.78,82.01,82.44,0
363,872,3.31,7.34,1.63,77.83,81.08,0
364,722,3.21,6.15,4.85,77.85,77.96,0
365,1185,3.95,4.75,1.54,83.61,67.81,1
366,405,3.74,5.17,1.64,76.69,70.06,1
367,1086,2.63,3.77,1.81,77.04,82.63,0
368,752,2.92,5.37,2.68,77.21,85.00,1
369,854,3.70,10.28,1.61,83.99,70.14,1
370,938,3.77,6.11,1.44,81.54,68.91,0
371,1103,3.21,7.85,3.06,77.02,74.90,1
372,775,4.43,6.83,1.14,74.88,70.97,1
373,1048,2.60,7.10,3.77,82.13,80.49,1
374,908,3.03,4.90,2.23,81.63,77.37,1
375,711,0.28,7.96,2.14,85.74,87.93,1
376,367,3.09,4.26,1.60,75.50,72.21,1
377,834,5.08,3.65,1.96,88.60,72.92,1
378,512,2.60,6.62,1.16,80.84,75.07,1
379,496,2.78,7.04,1.43,86.34,81.79,1
380,956,2.08,4.67,1.30,76.76,79.43,0
381,822,4.74,3.57,1.80,77.76,83.38,0
382,468,1.87,7.34,1.33,79.86,82.90,1
383,716,2.26,7.10,1.37,75.37,91.63,0
384,607,4.69,7.19,1.00,77.97,67.45,1
385,805,3.24,11.77,1.77,76.69,76.28,1
386,482,2.70,7.35,3.41,76.43,85.99,0
387,649,3.88,4.50,2.40,78.66,79.69,0
388,491,2.88,6.24,0.89,77.89,81.06,1
389,1363,3.68,4.38,5.05,84.85,89.78,1
390,934,3.78,6.94,1.29,74.84,74.59,0
391,1288,3.87,13.28,3.23,76.41,82.00,1
392,950,3.00,13.11,2.62,77.73,87.24,0
393,635,1.97,10.17,5.52,75.88,91.02,0
394,709,3.18,7.34,2.04,76.89,79.52,0
395,521,2.83,7.06,2.42,75.59,80.33,1
396,786,4.45,11.26,2.50,78.42,85.18,1
397,448,5.04,7.22,3.22,83.97,73.60,0
398,518,0.14,8.25,2.91,82.57,66.81,1
399,540,2.17,3.83,2.94,74.59,79.20,0
400,561,3.58,9.53,2.79,77.69,70.13,0
401,812,1.97,3.92,1.44,77.87,74.16,0
402,779,2.44,5.69,1.43,76.15,78.88,0
403,556,3.90,5.62,1.67,78.42,80.15,1
404,1003,3.49,5.40,1.05,76.74,77.92,1
405,860,3.03,8.00,2.49,74.65,88.94,1
406,706,4.02,6.13,2.11,76.70,81.84,1
407,587,3.75,8.31,1.33,76.09,81.73,0
408,922,3.79,6.96,2.70,75.74,87.36,1
409,1011,3.59,0.45,1.72,75.86,87.12,1
410,758,2.75,1.23,1.02,81.76,81.69,0
411,583,2.43,5.29,1.85,78.39,72.55,0
412,397,1.94,5.74,0.99,76.09,75.09,1
413,966,2.82,8.06,1.09,77.38,90.49,1
414,583,2.62,3.79,1.21,77.79,71.00,1
415,662,3.97,4.49,1.30,78.22,83.47,1
416,790,3.67,9.16,2.05,87.57,80.32,1
417,519,0.84,4.98,2.60,76.41,78.24,0
418,489,4.02,7.33,3.13,75.32,70.01,1
419,526,3.00,13.14,2.50,82.02,76.19,0
420,604,3.61,6.85,1.80,75.88,84.66,1
421,1280,2.98,7.22,3.23,77.25,77.46,1
422,751,2.32,3.23,1.78,78.15,75.31,1
423,909,1.90,5.65,1.43,79.00,73.73,1
424,980,3.33,6.95,3.66,73.75,65.20,1
425,759,3.10,6.11,2.05,76.72,85.99,1
426,679,1.98,2.53,1.87,84.14,77.75,0
427,543,2.65,5.95,2.10,81.48,88.09,1
428,1320,3.38,6.78,2.42,80.54,78.96,1
429,663,3.40,5.45,0.98,75.93,78.71,1
430,701,3.40,5.96,3.99,83.47,75.18,0
431,569,4.64,4.46,2.40,74.59,77.31,0
432,975,2.85,3.44,1.41,81.86,89.61,0
433,523,4.04,6.64,2.15,78.43,90.31,1
434,761,0.60,7.51,1.51,75.91,68.83,1
435,904,3.92,7.78,1.71,75.88,88.32,1
436,1521,4.18,6.74,2.02,77.68,76.18,1
437,516,2.78,3.43,2.31,81.05,72.44,1
438,629,4.70,4.31,2.67,88.62,74.95,0
439,790,3.73,9.26,2.21,85.16,83.73,0
440,869,3.91,5.31,0.78,78.41,78.79,1
441,945,6.46,3.35,1.50,76.70,75.44,1
442,1223,4.10,5.66,3.28,74.16,75.22,1
443,1384,0.26,12.14,3.79,77.79,86.35,1
444,946,4.65,3.86,1.45,87.25,64.58,0
445,830,2.94,6.47,2.43,75.42,80.32,1
446,1124,3.02,1.81,1.80,75.14,66.88,1
447,823,3.46,2.92,2.98,76.70,71.90,1
448,710,2.29,6.53,2.86,76.45,75.03,1
449,628,4.30,6.67,2.59,76.11,84.80,1
450,840,2.57,5.27,2.09,83.44,79.62,0
451,569,2.68,7.63,3.29,76.11,75.53,1
452,496,1.87,7.72,2.34,76.20,75.12,0
453,615,3.83,1.29,1.59,74.81,86.74,1
454,370,4.74,6.71,2.59,77.22,79.54,1
455,448,4.53,13.41,2.53,76.62,77.05,1
456,739,4.48,6.70,2.92,77.67,92.73,1
457,576,3.34,5.74,2.88,73.41,79.28,1
458,582,2.26,5.80,3.66,75.86,88.17,1
459,780,4.72,6.54,1.30,87.79,79.39,0
460,685,2.94,5.79,2.03,75.77,87.53,1
461,782,1.96,8.56,2.51,76.44,77.37,0
462,847,3.94,6.99,3.36,77.64,69.54,1
463,887,1.46,7.42,1.86,76.31,81.65,1
464,887,4.19,6.80,1.06,77.91,75.12,0
465,854,4.24,4.93,2.53,76.14,83.47,0
466,656,3.00,5.11,1.61,75.64,86.26,1
467,699,4.60,3.33,0.81,76.85,79.46,1
468,1606,4.40,5.50,1.68,76.97,87.89,1
469,817,3.20,7.38,1.52,76.27,69.32,1
470,894,3.24,8.62,0.82,74.52,76.31,1
471,621,4.43,9.95,1.45,75.83,75.24,0
472,676,5.15,4.01,2.98,75.11,68.78,1
473,716,5.20,4.98,1.15,77.61,77.47,1
474,552,3.14,4.86,2.85,75.45,65.67,1
475,966,2.07,8.43,1.77,75.28,82.86,0
476,761,3.73,6.29,1.25,77.64,75.47,1
477,1621,3.98,3.34,1.02,78.56,71.80,0
478,996,3.49,6.67,2.77,76.75,79.70,1
479,1499,3.08,6.53,2.54,78.28,74.56,0
480,862,3.03,4.46,1.82,75.91,63.62,1
481,645,2.86,6.01,3.37,74.44,91.15,1
482,726,2.51,6.35,2.25,83.99,65.61,1
483,914,2.98,9.61,2.53,84.84,74.97,1
484,1091,4.96,5.02,3.24,84.06,80.32,0
485,737,1.97,7.20,2.82,77.79,82.50,1
486,628,2.50,13.77,2.34,80.92,72.60,1
487,601,1.81,2.34,2.50,75.79,78.07,0
488,1063,2.95,11.89,1.19,78.13,74.54,1
489,662,2.77,8.76,1.06,76.91,86.18,1
490,944,2.86,8.25,3.12,78.18,84.49,0
491,634,3.09,1.36,1.89,77.97,74.96,1
492,729,2.88,5.83,2.46,78.80,79.59,1
493,530,2.16,2.78,2.80,76.45,78.16,1
494,925,2.08,3.38,3.27,75.38,78.00,0
495,750,2.80,7.63,2.91,76.64,79.40,1
496,902,3.36,5.51,2.29,81.42,75.57,0
497,1069,1.68,4.98,3.20,72.77,72.21,1
498,531,2.31,5.96,2.83,77.52,73.45,1
499,535,2.40,6.65,2.51,75.40,82.23,1
500,1273,4.58,5.13,1.32,78.81,88.43,0
501,1099,2.77,10.39,1.76,74.83,84.20,0
502,406,3.52,3.42,3.02,75.96,77.16,1
503,838,4.44,6.19,1.73,86.38,86.31,1
504,537,3.24,10.18,2.88,76.83,74.56,1
505,683,5.41,10.90,3.89,77.43,69.17,1
506,1073,2.16,3.50,2.60,74.39,78.04,1
507,1110,2.57,4.70,2.32,74.90,72.49,1
508,982,4.40,7.67,2.45,76.33,73.05,1
509,504,2.89,6.03,1.51,81.42,82.94,1
510,866,4.35,4.10,1.10,78.99,71.59,1
511,863,2.71,6.89,2.15,88.42,75.85,1
512,634,3.79,11.75,1.71,82.04,77.25,1
513,697,4.40,2.47,1.96,76.26,81.75,0
514,701,4.98,4.48,1.51,75.10,84.11,1
515,555,4.25,0.63,3.11,82.89,83.62,1
516,444,3.04,7.54,1.69,74.06,81.56,1
517,579,3.28,4.04,1.40,77.24,83.57,1
518,1341,2.86,14.87,1.66,77.23,75.10,1
519,568,3.16,6.20,1.98,78.18,82.95,0
520,1004,4.60,4.72,2.61,81.92,73.00,1
521,902,5.03,5.64,0.39,78.60,75.01,1
522,855,2.34,5.90,2.05,85.95,74.40,0
523,805,4.03,7.44,2.75,77.34,81.22,0
524,393,5.71,18.42,1.50,75.34,87.49,1
525,766,2.66,12.27,1.94,75.40,65.91,1
526,799,2.45,5.29,2.24,77.14,69.32,1
527,282,2.70,5.99,1.23,77.48,74.81,1
528,908,3.64,6.48,6.83,77.85,81.34,0
529,1134,3.33,7.14,3.54,75.50,73.77,1
